Cd.México	Acapulco	Aguascalientes	Atlacomulco	Campeche	Cancún	Cd.Acuña	Cd.Jiménez	Cd.Juárez	Chetumal	Chihuahua	Coatzacoalcos	Colima	Córdoba	Cortazar	Cuernavaca	Culiacán	Durango	Esperanza	Fresnillo	Guadalajara	Hermosillo	Huatabampo	Iguala	IzúcarDeMatamoros	Jacona	LaPaz	León	Matamoros	Mérida	Mexicali	Monclova	Monterrey	Morelia	Oaxaca	Pachuca	Puebla	Querétaro	Saltillo	SanAndrésTuxtla	SanLuisPotosí	Tampico	Tapachula	Tehuantepec	Tepatitlán	Tepic	Tijuana	Tlaxcala	Toluca	Torreón	Tulancingo	TuxtlaGutiérrez	Veracruz	Villahermosa	Zacatecas
89.077	90.388	88.462	-	89.565	-	91.919	90.192	90.914	92.614	89.535	-	90.222	89.546	88.301	89.618	96.614	88.614	-	88.792	90.311	92.987	97.635	89.557	-	88.412	93.673	88.719	89.348	89.358	94.960	90.805	91.400	89.503	89.774	-	89.776	88.037	-	91.286	89.284	90.865	90.224	92.138	86.597	89.676	86.843	89.595	88.729	89.384	88.355	-	91.505	91.688	-
88.921	90.086	88.465	-	88.810	-	86.237	89.971	91.458	91.697	89.613	-	90.036	89.741	88.207	89.662	96.618	88.586	-	88.740	90.484	92.730	97.533	89.023	-	88.550	93.607	88.914	89.729	88.655	96.191	89.195	90.261	89.656	90.001	-	89.774	87.797	-	91.338	89.497	89.771	90.196	91.592	86.947	89.320	87.468	89.809	88.664	88.379	88.439	-	90.214	90.632	-
88.946	90.084	88.494	-	89.077	-	86.753	89.477	89.884	92.004	89.639	-	89.717	89.989	88.191	89.734	89.395	88.443	-	88.628	90.540	89.910	89.115	89.079	-	88.524	90.485	88.877	87.776	88.965	88.072	89.183	90.250	89.663	90.083	-	89.926	88.037	-	91.340	89.381	89.623	90.439	91.519	86.822	89.445	87.429	89.843	88.719	88.105	88.582	-	90.419	90.793	-
88.961	90.170	88.613	-	89.247	-	87.596	89.134	90.082	91.988	89.411	-	89.913	90.127	88.325	89.804	89.409	88.458	-	88.958	90.552	89.913	89.273	88.983	-	88.580	90.596	88.822	88.341	89.070	88.752	89.365	90.314	89.666	90.206	-	89.933	88.062	-	91.464	89.346	89.630	90.589	92.100	87.128	89.804	87.946	89.858	88.815	88.361	88.480	-	90.456	90.572	-
89.381	90.286	88.700	-	89.643	-	87.147	88.686	90.175	92.038	89.678	-	90.155	90.242	88.689	89.891	89.578	88.940	-	88.988	90.695	90.235	89.510	88.763	-	88.912	90.888	89.016	88.247	88.966	89.308	89.262	90.505	89.893	90.258	-	89.905	88.354	-	91.608	89.411	89.780	90.623	92.016	88.235	89.972	88.184	89.607	88.954	88.531	88.669	-	90.537	91.002	-
89.636	90.502	89.216	-	89.921	-	87.520	88.798	90.137	92.597	90.070	-	90.383	90.580	89.061	90.032	90.021	89.041	-	89.244	90.863	90.784	89.484	88.817	-	89.048	91.277	89.424	88.591	89.020	88.076	89.780	90.992	90.094	90.235	-	90.387	88.894	-	91.745	89.786	90.196	91.217	92.100	88.708	90.292	87.817	89.997	89.244	88.917	88.659	-	90.685	91.240	-
90.216	91.246	89.905	-	90.428	-	88.411	89.264	90.620	92.733	90.458	-	90.832	90.898	89.615	90.703	90.432	89.223	-	89.839	91.344	91.137	90.103	89.643	-	89.833	91.556	89.955	89.404	89.737	88.426	90.323	91.635	90.851	90.938	-	91.175	89.273	-	92.286	90.514	90.761	91.769	92.749	89.071	90.659	88.172	90.624	89.626	89.353	89.231	-	91.084	91.708	-
90.383	91.677	90.014	-	91.743	-	94.467	89.541	91.047	93.815	90.740	-	90.961	91.137	89.440	90.945	90.562	89.727	-	89.856	91.535	91.451	90.738	90.844	-	89.770	91.792	90.098	89.724	91.227	89.379	91.920	92.835	91.000	91.281	-	91.336	89.532	-	92.585	90.796	92.254	91.899	93.545	89.570	90.910	88.960	90.642	90.013	90.411	89.625	-	92.682	92.965	-
90.620	92.067	90.349	-	91.919	-	95.227	90.311	92.795	94.076	91.552	-	91.703	91.194	89.669	91.183	97.994	89.733	-	89.776	91.720	94.581	99.328	91.248	-	90.153	94.668	90.529	92.261	91.707	98.113	91.763	93.108	91.280	91.491	-	91.838	89.868	-	92.627	90.840	92.479	92.224	93.851	89.475	91.340	89.216	90.918	89.985	90.728	89.892	-	92.959	93.201	-
91.052	92.756	91.186	-	92.348	-	95.654	90.878	93.621	94.773	91.852	-	92.215	91.703	89.886	91.497	98.348	89.877	-	89.998	92.119	94.920	99.309	91.605	-	90.221	95.056	90.944	92.626	92.136	98.634	92.278	93.460	91.326	91.978	-	92.146	90.257	-	92.997	91.232	92.791	92.695	93.934	90.047	91.803	90.095	91.290	90.558	90.879	90.189	-	93.422	93.571	-
92.208	93.544	93.297	-	93.796	-	99.096	93.163	96.127	96.020	93.588	-	93.559	92.977	91.477	93.255	99.942	91.736	-	91.604	93.665	96.511	100.742	92.916	-	92.732	96.958	93.360	95.912	93.730	101.253	94.520	95.117	93.396	93.508	-	93.081	91.733	-	94.105	92.817	94.254	93.602	94.674	91.818	93.002	92.424	92.297	92.883	93.680	91.317	-	94.509	94.996	-
92.811	93.876	93.745	-	94.381	-	99.976	93.908	95.946	96.325	94.446	-	94.049	93.558	92.273	93.932	100.623	92.511	-	92.301	94.245	96.702	100.854	93.084	-	93.082	97.740	93.792	96.871	94.239	101.907	95.203	95.722	93.731	93.893	-	93.557	92.475	-	94.117	93.067	94.798	93.564	94.789	92.664	93.351	92.804	92.843	93.289	94.439	92.006	-	94.704	95.424	-
93.579	94.577	94.024	-	94.793	-	100.092	94.087	96.047	96.842	94.875	-	94.619	94.153	92.902	94.594	101.144	93.260	-	93.221	94.860	97.154	101.395	94.279	-	93.773	98.280	94.286	95.780	94.741	102.193	95.587	96.081	94.318	94.592	-	94.256	93.125	-	94.696	93.705	95.138	93.771	95.167	93.514	93.970	93.245	93.802	93.898	94.887	92.781	-	95.213	95.955	-
94.062	94.831	94.612	-	94.159	-	93.851	94.464	96.443	96.208	95.281	-	95.049	94.578	93.620	95.226	101.223	93.939	-	93.827	95.128	97.621	102.086	93.935	-	94.309	98.714	94.545	96.149	93.892	102.522	94.287	95.266	94.779	94.860	-	94.838	93.414	-	95.551	94.430	94.624	94.223	95.542	94.063	94.218	93.832	94.296	94.271	94.180	93.387	-	94.464	95.481	-
94.549	95.277	94.836	-	94.574	-	94.504	93.997	95.172	95.932	94.484	-	94.728	95.015	93.975	95.409	94.125	94.407	-	94.291	95.171	94.811	94.255	94.192	-	94.530	95.847	94.847	94.492	94.185	94.498	94.635	95.535	95.302	95.439	-	95.470	93.642	-	95.735	95.066	94.858	94.441	95.685	94.371	94.526	93.959	95.076	94.302	94.679	93.780	-	95.016	95.615	-
94.742	95.295	95.016	-	95.127	-	94.592	94.144	95.667	95.881	94.724	-	95.130	95.286	94.531	95.690	94.312	94.463	-	94.517	95.563	95.075	94.579	94.106	-	94.875	95.909	95.144	94.739	94.612	94.997	94.713	95.808	95.393	95.731	-	95.690	93.709	-	96.058	95.192	95.140	94.727	95.836	94.634	94.773	94.299	95.243	94.603	94.989	93.769	-	95.327	96.054	-
95.100	95.593	95.632	-	95.562	-	94.829	94.923	95.872	96.283	95.039	-	95.731	95.637	95.208	95.850	94.898	94.917	-	95.209	95.928	95.724	94.736	94.481	-	95.633	96.399	95.577	94.726	94.896	95.137	94.584	96.232	95.853	95.775	-	95.727	94.137	-	96.538	95.327	95.486	95.254	96.269	94.858	95.391	94.511	95.489	95.272	95.123	94.004	-	95.727	96.380	-
95.503	95.910	95.846	-	95.953	-	95.406	95.620	96.680	97.654	95.671	-	96.001	96.083	95.778	96.289	95.917	95.398	-	95.458	96.297	96.194	95.732	95.307	-	96.208	96.798	95.992	95.299	95.271	95.391	95.472	96.524	96.325	96.161	-	96.362	94.780	-	96.800	95.737	95.974	96.484	97.446	94.855	95.478	94.557	96.403	95.884	95.737	94.916	-	96.071	96.725	-
95.707	96.092	96.211	-	96.161	-	96.112	96.750	97.020	98.044	96.293	-	96.247	96.104	96.284	96.389	96.167	95.784	-	96.148	96.580	96.855	96.106	95.476	-	96.756	97.232	96.323	95.780	95.562	95.585	96.082	96.971	96.586	96.309	-	96.811	95.049	-	96.837	96.214	96.512	96.722	97.556	95.161	95.568	94.779	95.934	96.186	95.927	95.519	-	96.290	96.783	-
96.132	96.774	96.233	-	97.483	-	101.704	96.653	97.315	99.520	96.505	-	96.283	96.224	96.767	96.480	96.515	96.072	-	96.398	96.767	97.030	96.825	96.413	-	96.988	97.408	96.456	96.132	96.800	95.910	97.994	98.281	96.807	96.712	-	96.733	95.252	-	97.219	96.463	97.936	96.698	98.364	95.215	95.846	95.560	96.375	96.319	97.149	96.066	-	97.655	98.094	-
96.822	97.668	96.764	-	97.830	-	102.127	97.597	99.262	99.911	97.756	-	96.986	96.912	97.263	97.130	104.064	96.590	-	97.069	97.205	100.125	105.686	97.180	-	97.303	100.664	97.019	98.665	97.229	104.375	98.273	98.391	97.200	97.053	-	97.516	95.838	-	97.941	96.826	98.070	97.391	98.780	95.640	96.467	96.438	97.385	96.647	97.598	96.559	-	98.371	98.679	-
97.509	98.237	97.543	-	98.483	-	102.495	98.040	99.979	100.178	97.971	-	97.674	97.822	97.541	97.748	104.369	96.951	-	97.618	97.787	100.512	105.803	97.364	-	97.858	100.896	97.389	99.202	98.101	104.771	98.443	98.681	97.996	97.817	-	98.301	96.487	-	98.418	97.238	98.543	97.957	99.388	96.397	96.873	97.087	98.110	97.379	98.400	96.932	-	99.325	99.167	-
97.980	98.528	98.025	-	99.179	-	103.276	98.766	100.304	100.942	98.396	-	98.156	98.614	98.434	98.292	105.329	97.683	-	98.000	98.140	101.341	106.639	97.700	-	98.534	101.254	98.228	99.958	98.503	105.026	99.388	99.119	98.426	98.453	-	98.460	97.033	-	98.645	98.173	98.945	98.767	99.181	97.513	97.387	96.971	98.574	97.997	99.193	98.534	-	99.740	99.613	-
